taxonomy	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Lecanora	0	0	0	18	0	0
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanoraceae;Other	0	0	4	0	0	0
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Other;Other	3	7	0	7	2	7
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Bryoria	9	1	46	3	12	0
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Other	10	31	18	58	18	36
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Parmotrema	4	0	0	3	0	5
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Physciaceae;Heterodermia	0	5	0	7	0	13
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Physciaceae;Other	5	0	1	6	0	3
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Physciaceae;Phaeophyscia	91	47	34	12	38	49
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Physciaceae;Physcia	21	18	30	30	13	58
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Physciaceae;unclassified_Physciaceae_genus	0	0	1	0	5	0
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Ramalinaceae;Ramalina	15	5	8	7	0	0
Fungi;Ascomycota;Lecanoromycetes;Lecanoromycetes_order_incertae_sedis;Teloschistaceae;Caloplaca	58	31	18	75	16	84
Fungi;Ascomycota;Lecanoromycetes;Lecanoromycetes_order_incertae_sedis;Teloschistaceae;Xanthoria	0	0	0	0	0	4
Fungi;Ascomycota;Lecanoromycetes;Ostropales;Stictidaceae;unclassified_Stictidaceae_genus	0	1	3	2	5	0
Fungi;Ascomycota;Lecanoromycetes;Other;Other;Other	7	36	12	35	2	3
Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;Mollisia	2	5	1	1	6	11
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Bisporella	0	0	3	0	0	7
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Crocicreas	3	23	0	0	15	25
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Hymenoscyphus	0	10	0	0	3	8
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Other	3	0	8	0	66	4
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;unclassified_Helotiaceae_genus	0	2	0	0	2	43
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_family_incertae_sedis;Acephala	11	50	24	23	82	151
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_family_incertae_sedis;Cadophora	24	42	12	30	14	62
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_family_incertae_sedis;Chaetomella	0	0	0	0	1	12
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_family_incertae_sedis;Chalara	1	0	1	0	13	125
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_family_incertae_sedis;Naemacyclus	0	16	0	1	3	794
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_family_incertae_sedis;Other	153	353	270	202	230	822
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_family_incertae_sedis;Phialocephala	1	4	3	0	1	5
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_family_incertae_sedis;Pilidium	0	7	1	0	0	28
Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Cistella	3	1	0	0	0	4
Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Hyaloscypha	4	0	0	4	0	2
Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Lachnellula	8	0	1	0	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Lachnum	0	2	0	0	39	89
Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Other	1	8	7	4	1	35
Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;unclassified_Hyaloscyphaceae_genus	0	2	0	0	1	5
Fungi;Ascomycota;Leotiomycetes;Helotiales;Other;Other	63	66	101	36	74	212
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Botryotinia	530	486	272	149	1348	192
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Monilinia	0	5	6	19	0	3
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Other	5650	3983	6218	843	12519	3538
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Sclerotinia	4	8	2	2	3	7
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;unclassified_Sclerotiniaceae_genus	22	15	70	9	84	81
Fungi;Ascomycota;Leotiomycetes;Helotiales;unclassified_Helotiales_family;unclassified_Helotiales_genus	13	34	46	12	30	81
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Erysiphaceae;Blumeria	40	74	47	55	14	41
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Erysiphaceae;Cystotheca	1	0	0	5	1	3
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Erysiphaceae;Erysiphe	16	82	255	191	24	56
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Erysiphaceae;Golovinomyces	749	247	5892	196	649	74
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Erysiphaceae;Neoerysiphe	154	306	48	78	12	37
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Erysiphaceae;Other	53	89	417	728	57	89
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Erysiphaceae;Phyllactinia	7	18	2	5	1	2
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Erysiphaceae;Podosphaera	103	147	389	351	60	63
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Erysiphaceae;Sawadaea	0	0	48	28	0	19
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Myxotrichaceae;Geomyces	24	5	84	27	1	3
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Myxotrichaceae;Myxotrichum	14	15	0	21	0	6
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Myxotrichaceae;Oidiodendron	18	29	28	10	5	10
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Myxotrichaceae;Other	12	0	0	NA	0	0
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Pseudeurotiaceae;Pseudeurotium	0	1	3	14	1	3
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Rhytismataceae;Lophodermium	7	16	18	2	47	115
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Rhytismataceae;Other	2	5	9	0	9	35
Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_order_incertae_sedis;Rhytismataceae;Tryblidiopsis	0	0	1	3	5	3
Fungi;Ascomycota;Leotiomycetes;Other;Other;Other	0	0	8	2	0	0
